destination,hotel,avgCost
NewYork,Grand,150.00 
NewYork,ParkView,146.67 
NewYork,SkylineInn,135.00 
NewYork,CentralLodge,155.00 
NewYork,UrbanRetreat,123.33 
London,ChelseaHeights,176.67 
London,ThamesideSuites,168.33 
London,WestEndRooms,147.33 
London,CityStay,139.33 
London,RoyalCorner,185.00 
Paris,LePetit,115.00 
Paris,EiffelView,190.00 
Paris,SeineStay,129.00 
Paris,ParisianNest,143.33 
Paris,ChampsElyseesRest,203.33 
Tokyo,SakuraInn,148.33 
Tokyo,ShibuyaStay,156.67 
Tokyo,GinzaSuites,170.00 
Tokyo,TokyoHideaway,133.33 
Tokyo,AsakusaRetreat,138.33 
Sydney,HarbourView,178.33 
Sydney,BondiBeachside,193.33 
Sydney,SydneyCove,161.67 
Sydney,OperaHouseInn,183.33 
Sydney,BlueMountainsLodge,150.00 
